"","s1"
"TAF10",1.49180631272903
"TAF4B",0
"TAL1",0
"TAP1",0
"TAP2",0
"TBX2",0
"TBX3",-0.761984487889163
"TCEB1",0
"TCF3",0
"TCF7L2",-0.463167768573461
"TEK",-0.447863799268716
"TENM1",0.633406327553061
"TENM2",3.61977004980428
"TERT",-1.16917080468554
"TET1",0
"TET2",-0.263098056967809
"TET3",4.96655743851856
"TGFBR1",0
"TGFBR2",0.491969898521117
"THBS2",0
"THBS3",1.6180925224681
"TIA1",0
"TIMM8B",0
"TIMP3",0
"TLE4",0
"TMEM127",0
"TMPRSS2",-0.0569868628289713
"TNFAIP3",0
"TNFRSF14",-0.642805550123025
"TNN",0
"TONSL",1.40159651383589
"TOP1",-0.331408717956204
"TP53",-0.839984581332885
"TP53BP1",0
"TP63",-0.135125083376143
"TP73",0
"TPI1",0
"TPR",0
"TRAF2",0
"TRAF7",0.130962912206263
"TRIM56",4.83275143192849
"TRIM58",0
"TSC1",0.100097947129491
"TSC2",-0.0455877872312432
"TSHR",0
"U2AF1",0.209567252327376
"UNC5C",1.22158250104967
"UPF1",0
"USP24",0
"USP7",0
"VAV3",5.31596492443094
"VEGFA",0
"VEZT",0
"VHL",-2.82488510227504
"VTCN1",-0.455698711538089
"WHSC1",0.559363927608541
"WHSC1L1",0
"WIF1",0
"WNT5B",0
"WRAP53",0
"WRN",0
"WT1",0
"WWTR1",-0.228811043114563
"XIAP",0
"XIRP2",1.5682770251244
"XPO1",0.748233006018142
"XRCC2",-0.563789542797415
"YAP1",0.252295906944025
"YEATS4",0
"YES1",-0.441998377430889
"YY1",0
"ZEB2",0.521574338849412
"ZFHX3",-0.0385233929091148
"ZNF318",0
"ZNF415",0
"ZNF521",2.56525350145939
"ZNF90",0
"ZRSR2",0
